Month,months_passed,posts_in_month,posts_total,views
2016 10,1,0,0,2
2016 11,2,4,4,218
2016 12,3,2,6,191
2017 01,4,0,6,3
2017 02,5,0,6,16
2017 03,6,0,6,8
2017 04,7,0,6,10
2017 05,8,1,7,116
2017 06,9,2,9,424
2017 07,10,2,11,400
2017 08,11,0,11,80
2017 09,12,1,12,190
2017 10,13,6,18,1621
2017 11,14,16,34,1710
2017 12,15,29,63,1694
2018 01,16,28,91,2821
2018 02,17,5,96,5114
2018 03,18,4,100,2706
2018 04,19,14,114,3821
2018 05,20,24,138,5307
2018 06,21,2,140,1741
2018 07,22,2,142,4212
2018 08,23,8,150,4094
2018 09,24,10,160,7189
2018 10,25,10,170,3208
2018 11,26,25,195,8356
2018 12,27,12,207,6456
2019 01,28,7,214,7375
2019 02,29,9,223,6978
2019 03,30,11,234,17210
2019 04,31,0,234,8085
2019 05,32,21,255,12794
2019 06,33,20,275,13365
2019 07,34,12,287,16191
2019 08,35,16,303,13906
2019 09,36,5,308,16302
2019 10,37,6,314,8674
2019 11,38,18,332,14485
2019 12,39,30,362,19258
2020 01,40,33,395,21885
2020 02,41,24,419,17263
2020 03,42,37,456,23526
2020 04,43,23,479,15589
2020 05,44,20,499,35265
2020 06,45,13,512,34693
2020 07,46,15,527,42048
2020 08,47,25,552,33659
2020 09,48,18,570,32450
2020 10,49,21,591,37613
2020 11,50,12,603,29881
2020 12,51,6,609,31316
2021 01,52,18,627,30752
2021 02,53,25,652,27189
2021 03,54,46,698,35424
2021 04,55,50,748,29553
2021 05,56,61,809,53297
2021 06,57,44,853,53765
2021 07,58,34,887,45809
2021 08,59,33,920,34250
2021 09,60,59,979,38656
2021 10,61,58,1037,45733
2021 11,62,26,1063,36052
2021 12,63,136,1199,39491
2022 01,64,174,1373,44983
2022 02,65,78,1451,33679
2022 03,66,53,1504,30249
2022 04,67,15,1519,23883
2022 05,68,53,1572,25804
2022 06,69,71,1643,19445
2022 07,70,92,1735,21202
2022 08,71,19,1754,17121
2022 09,72,33,1787,14509
2022 10,73,43,1830,11618
2022 11,74,19,1849,6745
2022 12,75,5,1854,6963
2023 01,76,32,1886,10580
2023 02,77,39,1925,6084
2023 03,78,9,1934,4154
2023 04,79,16,1950,4999
2023 05,80,25,1975,6195
2023 06,81,11,1986,9585
2023 07,82,18,2004,27490
2023 08,83,5,2009,9533
2023 09,84,7,2016,28672
2023 10,85,31,2047,7119
2023 11,86,9,2056,4812
2023 12,87,27,2083,7431
2024 01,88,38,2121,6042
2024 02,89,19,2140,6922
2024 03,90,9,2149,13434
